,Alias	Type	Experiment	Species	Variety	ExperimentModalities	Repetition,URI
25,26/DZ_PG_12/ZM1304_lot1/WW/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG082	WW	1,test/m3p/2020/aProject/pl20000026
26,27/DZ_PG_74/ZM4397/WW/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG313	WW	1,test/m3p/2020/aProject/pl20000027
27,28/DZ_PG_72/ZM4398/WW/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG314	WW	1,test/m3p/2020/aProject/pl20000028
28,29/DZ_PG_47/ZM4362/WW/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG202	WW	1,test/m3p/2020/aProject/pl20000029
29,30/DZ_PG_04/ZM4366/WW/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG321	WW	1,test/m3p/2020/aProject/pl20000030
30,31/DZ_PG_62/ZM4393/WW/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG303	WW	1,test/m3p/2020/aProject/pl20000031
31,32/DZ_PG_03/ZM4377/WW/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG017	WW	1,test/m3p/2020/aProject/pl20000032
32,33/DZ_PG_40/ZM4390/WW/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG176	WW	1,test/m3p/2020/aProject/pl20000033
33,34/DZ_PG_14/ZM4375/WW/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG101	WW	1,test/m3p/2020/aProject/pl20000034
34,35/DZ_PG_33/ZM4353/WW/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG158	WW	1,test/m3p/2020/aProject/pl20000035
35,36/DZ_PG_17/ZM4348/WW/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG110	WW	1,test/m3p/2020/aProject/pl20000036
36,37/DZ_PG_43/ZM4380/WW/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG188	WW	1,test/m3p/2020/aProject/pl20000037
37,38/DZ_PG_21/ZM4360/WW/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG120	WW	1,test/m3p/2020/aProject/pl20000038
38,39/DZ_PG_23/ZM4388/WW/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG128	WW	1,test/m3p/2020/aProject/pl20000039
39,40/DZ_PG_09/ZM4368/WW/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG066	WW	1,test/m3p/2020/aProject/pl20000040
40,41/DZ_PG_01/ZM4381/WW/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG004	WW	1,test/m3p/2020/aProject/pl20000041
41,42/DZ_PG_68/ZM4395/WW/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG311	WW	1,test/m3p/2020/aProject/pl20000042
42,43/DZ_PG_39/ZM4371/WW/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG173	WW	1,test/m3p/2020/aProject/pl20000043
43,44/DZ_PG_34/ZM4384/WW/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG159	WW	1,test/m3p/2020/aProject/pl20000044
44,45/DKC4590/XXXX/WW/1/DIA2017-05-19	Plant	DIA2017	Maize	DKC4590	WW	1,test/m3p/2020/aProject/pl20000045
45,46/DKC4590/XXXX/WW/1/DIA2017-05-19	Plant	DIA2017	Maize	DKC4590	WW	1,test/m3p/2020/aProject/pl20000046
46,47/DZ_PG_36/ZM4372/WW/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG165	WW	1,test/m3p/2020/aProject/pl20000047
47,48/DZ_PG_41/ZM4378/WW/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG181	WW	1,test/m3p/2020/aProject/pl20000048
48,49/DZ_PG_07/ZM4351/WW/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG062	WW	1,test/m3p/2020/aProject/pl20000049
49,50/DZ_PG_62/ZM4393/WW/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG303	WW	1,test/m3p/2020/aProject/pl20000050
50,51/DZ_PG_52/ZM4370/WW/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG239	WW	1,test/m3p/2020/aProject/pl20000051
51,52/DZ_PG_55/ZM4355/WW/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG146	WW	1,test/m3p/2020/aProject/pl20000052
52,53/DZ_PG_13/ZM4379/WW/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG089	WW	1,test/m3p/2020/aProject/pl20000053
53,54/DZ_PG_45/ZM4385/WW/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG194	WW	1,test/m3p/2020/aProject/pl20000054
54,55/DZ_PG_11/ZM4386/WW/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG077	WW	1,test/m3p/2020/aProject/pl20000055
55,56/DZ_PG_05/ZM4357/WW/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG026	WW	1,test/m3p/2020/aProject/pl20000056
56,57/DZ_PG_27/ZM4354/WW/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG103	WW	1,test/m3p/2020/aProject/pl20000057
57,58/DZ_PG_35/ZM4358/WW/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG164	WW	1,test/m3p/2020/aProject/pl20000058
58,59/DZ_PG_44/ZM4369/WW/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG189	WW	1,test/m3p/2020/aProject/pl20000059
59,60/DZ_PG_32/ZM4352/WW/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG155	WW	1,test/m3p/2020/aProject/pl20000060
60,61/DZ_PG_31/ZM4347/WW/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG153	WW	1,test/m3p/2020/aProject/pl20000061
61,62/DZ_PG_63/ZM4392/WW/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG304	WW	1,test/m3p/2020/aProject/pl20000062
62,63/DZ_PG_06/ZM4376/WW/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG029	WW	1,test/m3p/2020/aProject/pl20000063
63,64/DZ_PG_67/ZM4394/WW/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG310	WW	1,test/m3p/2020/aProject/pl20000064
64,65/DZ_PG_46/ZM4374/WW/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG195	WW	1,test/m3p/2020/aProject/pl20000065
65,66/DZ_PG_26/ZM4387/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG138	WW	2,test/m3p/2020/aProject/pl20000066
66,67/DZ_PG_55/ZM4355/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG146	WW	2,test/m3p/2020/aProject/pl20000067
67,68/DZ_PG_03/ZM4377/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG017	WW	2,test/m3p/2020/aProject/pl20000068
68,69/DZ_PG_32/ZM4352/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG155	WW	2,test/m3p/2020/aProject/pl20000069
69,70/DZ_PG_43/ZM4380/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG188	WW	2,test/m3p/2020/aProject/pl20000070
70,71/DZ_PG_12/ZM1304_lot1/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG082	WW	2,test/m3p/2020/aProject/pl20000071
71,72/DZ_PG_39/ZM4371/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG173	WW	2,test/m3p/2020/aProject/pl20000072
72,73/DZ_PG_17/ZM4348/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG110	WW	2,test/m3p/2020/aProject/pl20000073
73,74/DZ_PG_20/ZM4344/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG119	WW	2,test/m3p/2020/aProject/pl20000074
74,75/DZ_PG_69/ZM4396/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG312	WW	2,test/m3p/2020/aProject/pl20000075
75,76/DZ_PG_31/ZM4347/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG153	WW	2,test/m3p/2020/aProject/pl20000076
76,77/DZ_PG_37/ZM4364/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG167	WW	2,test/m3p/2020/aProject/pl20000077
77,78/DZ_PG_40/ZM4390/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG176	WW	2,test/m3p/2020/aProject/pl20000078
78,79/DZ_PG_50/ZM4363/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG233	WW	2,test/m3p/2020/aProject/pl20000079
79,80/DZ_PG_68/ZM4395/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG311	WW	2,test/m3p/2020/aProject/pl20000080
80,81/DZ_PG_10/ZM4365/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG073	WW	2,test/m3p/2020/aProject/pl20000081
81,82/DZ_PG_54/ZM4346/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG116	WW	2,test/m3p/2020/aProject/pl20000082
82,83/DZ_PG_36/ZM4372/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG165	WW	2,test/m3p/2020/aProject/pl20000083
83,84/DZ_PG_67/ZM4394/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG310	WW	2,test/m3p/2020/aProject/pl20000084
84,85/DKC4590/XXXX/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	DKC4590	WW	2,test/m3p/2020/aProject/pl20000085
85,86/DKC4590/XXXX/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	DKC4590	WW	2,test/m3p/2020/aProject/pl20000086
86,87/DZ_PG_47/ZM4362/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG202	WW	2,test/m3p/2020/aProject/pl20000087
87,88/DZ_PG_67/ZM4394/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG310	WW	2,test/m3p/2020/aProject/pl20000088
88,89/DZ_PG_22/ZM4349/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG121	WW	2,test/m3p/2020/aProject/pl20000089
89,90/DZ_PG_35/ZM4358/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG164	WW	2,test/m3p/2020/aProject/pl20000090
90,91/DZ_PG_49/ZM4389/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG228	WW	2,test/m3p/2020/aProject/pl20000091
91,92/DZ_PG_53/ZM4345/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG190	WW	2,test/m3p/2020/aProject/pl20000092
92,93/DZ_PG_41/ZM4378/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG181	WW	2,test/m3p/2020/aProject/pl20000093
93,94/DZ_PG_21/ZM4360/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG120	WW	2,test/m3p/2020/aProject/pl20000094
94,95/DZ_PG_51/ZM4350/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG234	WW	2,test/m3p/2020/aProject/pl20000095
95,96/DZ_PG_27/ZM4354/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG103	WW	2,test/m3p/2020/aProject/pl20000096
96,97/DZ_PG_45/ZM4385/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG194	WW	2,test/m3p/2020/aProject/pl20000097
97,98/DKC4590/XXXX/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	DKC4590	WW	2,test/m3p/2020/aProject/pl20000098
98,99/DZ_PG_30/ZM4361/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG152	WW	2,test/m3p/2020/aProject/pl20000099
99,100/DZ_PG_16/ZM4359/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG109	WW	2,test/m3p/2020/aProject/pl20000100
100,101/DZ_PG_11/ZM4386/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG077	WW	2,test/m3p/2020/aProject/pl20000101
101,102/DZ_PG_13/ZM4379/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG089	WW	2,test/m3p/2020/aProject/pl20000102
102,103/DZ_PG_48/ZM4421/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG216	WW	2,test/m3p/2020/aProject/pl20000103
103,104/DZ_PG_14/ZM4375/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG101	WW	2,test/m3p/2020/aProject/pl20000104
104,105/DZ_PG_02/ZM4356/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG007	WW	2,test/m3p/2020/aProject/pl20000105
105,106/DZ_PG_24/ZM4342/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG131	WW	2,test/m3p/2020/aProject/pl20000106
106,107/DZ_PG_52/ZM4370/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG239	WW	2,test/m3p/2020/aProject/pl20000107
107,108/DZ_PG_34/ZM4384/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG159	WW	2,test/m3p/2020/aProject/pl20000108
108,109/DZ_PG_46/ZM4374/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG195	WW	2,test/m3p/2020/aProject/pl20000109
109,110/DKC4590/XXXX/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	DKC4590	WW	2,test/m3p/2020/aProject/pl20000110
110,111/DKC4590/XXXX/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	DKC4590	WW	2,test/m3p/2020/aProject/pl20000111
111,112/DZ_PG_63/ZM4392/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG304	WW	2,test/m3p/2020/aProject/pl20000112
112,113/DZ_PG_06/ZM4376/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG029	WW	2,test/m3p/2020/aProject/pl20000113
113,114/DZ_PG_33/ZM4353/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG158	WW	2,test/m3p/2020/aProject/pl20000114
114,115/DZ_PG_09/ZM4368/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG066	WW	2,test/m3p/2020/aProject/pl20000115
115,116/DZ_PG_08/ZM4343/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG063	WW	2,test/m3p/2020/aProject/pl20000116
116,117/DZ_PG_23/ZM4388/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG128	WW	2,test/m3p/2020/aProject/pl20000117
117,118/DZ_PG_74/ZM4397/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG313	WW	2,test/m3p/2020/aProject/pl20000118
118,119/DZ_PG_62/ZM4393/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG303	WW	2,test/m3p/2020/aProject/pl20000119
119,120/DZ_PG_62/ZM4393/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG303	WW	2,test/m3p/2020/aProject/pl20000120
120,121/DZ_PG_19/ZM4367/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG117	WW	2,test/m3p/2020/aProject/pl20000121
121,122/DZ_PG_72/ZM4398/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG314	WW	2,test/m3p/2020/aProject/pl20000122
122,123/DZ_PG_07/ZM4351/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG062	WW	2,test/m3p/2020/aProject/pl20000123
123,124/DZ_PG_01/ZM4381/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG004	WW	2,test/m3p/2020/aProject/pl20000124
124,125/DZ_PG_44/ZM4369/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG189	WW	2,test/m3p/2020/aProject/pl20000125
125,126/DZ_PG_62/ZM4393/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG303	WW	2,test/m3p/2020/aProject/pl20000126
126,127/DZ_PG_25/ZM4382/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG136	WW	2,test/m3p/2020/aProject/pl20000127
127,128/DZ_PG_04/ZM4366/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG321	WW	2,test/m3p/2020/aProject/pl20000128
128,129/DZ_PG_66/ZM4391/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG318	WW	2,test/m3p/2020/aProject/pl20000129
129,130/DZ_PG_05/ZM4357/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG026	WW	2,test/m3p/2020/aProject/pl20000130
130,131/DZ_PG_40/ZM4390/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG176	WD1	1,test/m3p/2020/aProject/pl20000131
131,132/DZ_PG_33/ZM4353/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG158	WD1	1,test/m3p/2020/aProject/pl20000132
132,133/DZ_PG_12/ZM1304_lot1/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG082	WD1	1,test/m3p/2020/aProject/pl20000133
133,134/DZ_PG_53/ZM4345/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG190	WD1	1,test/m3p/2020/aProject/pl20000134
134,135/DZ_PG_48/ZM4421/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG216	WD1	1,test/m3p/2020/aProject/pl20000135
135,136/DZ_PG_72/ZM4398/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG314	WD1	1,test/m3p/2020/aProject/pl20000136
136,137/DZ_PG_09/ZM4368/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG066	WD1	1,test/m3p/2020/aProject/pl20000137
137,138/DZ_PG_31/ZM4347/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG153	WD1	1,test/m3p/2020/aProject/pl20000138
138,139/DZ_PG_74/ZM4397/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG313	WD1	1,test/m3p/2020/aProject/pl20000139
139,140/DZ_PG_22/ZM4349/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG121	WD1	1,test/m3p/2020/aProject/pl20000140
140,141/DZ_PG_01/ZM4381/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG004	WD1	1,test/m3p/2020/aProject/pl20000141
141,142/DZ_PG_27/ZM4354/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG103	WD1	1,test/m3p/2020/aProject/pl20000142
142,143/DZ_PG_46/ZM4374/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG195	WD1	1,test/m3p/2020/aProject/pl20000143
143,144/DZ_PG_25/ZM4382/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG136	WD1	1,test/m3p/2020/aProject/pl20000144
144,145/DZ_PG_55/ZM4355/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG146	WD1	1,test/m3p/2020/aProject/pl20000145
145,146/DZ_PG_10/ZM4365/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG073	WD1	1,test/m3p/2020/aProject/pl20000146
146,147/DZ_PG_21/ZM4360/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG120	WD1	1,test/m3p/2020/aProject/pl20000147
147,148/DZ_PG_34/ZM4384/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG159	WD1	1,test/m3p/2020/aProject/pl20000148
148,149/DZ_PG_62/ZM4393/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG303	WD1	1,test/m3p/2020/aProject/pl20000149
149,150/DKC4590/XXXX/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	DKC4590	WD1	1,test/m3p/2020/aProject/pl20000150
150,151/DKC4590/XXXX/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	DKC4590	WD1	1,test/m3p/2020/aProject/pl20000151
151,152/DZ_PG_13/ZM4379/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG089	WD1	1,test/m3p/2020/aProject/pl20000152
152,153/DZ_PG_11/ZM4386/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG077	WD1	1,test/m3p/2020/aProject/pl20000153
153,154/DZ_PG_47/ZM4362/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG202	WD1	1,test/m3p/2020/aProject/pl20000154
154,155/DZ_PG_43/ZM4380/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG188	WD1	1,test/m3p/2020/aProject/pl20000155
155,156/DZ_PG_50/ZM4363/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG233	WD1	1,test/m3p/2020/aProject/pl20000156
156,157/DZ_PG_68/ZM4395/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG311	WD1	1,test/m3p/2020/aProject/pl20000157
157,158/DZ_PG_06/ZM4376/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG029	WD1	1,test/m3p/2020/aProject/pl20000158
158,159/DZ_PG_66/ZM4391/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG318	WD1	1,test/m3p/2020/aProject/pl20000159
159,160/DZ_PG_16/ZM4359/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG109	WD1	1,test/m3p/2020/aProject/pl20000160
160,161/DZ_PG_52/ZM4370/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG239	WD1	1,test/m3p/2020/aProject/pl20000161
161,162/DZ_PG_19/ZM4367/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG117	WD1	1,test/m3p/2020/aProject/pl20000162
162,163/DKC4590/XXXX/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	DKC4590	WD1	1,test/m3p/2020/aProject/pl20000163
163,164/DZ_PG_17/ZM4348/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG110	WD1	1,test/m3p/2020/aProject/pl20000164
164,165/DZ_PG_62/ZM4393/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG303	WD1	1,test/m3p/2020/aProject/pl20000165
165,166/DZ_PG_02/ZM4356/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG007	WD1	1,test/m3p/2020/aProject/pl20000166
166,167/DZ_PG_26/ZM4387/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG138	WD1	1,test/m3p/2020/aProject/pl20000167
167,168/DZ_PG_51/ZM4350/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG234	WD1	1,test/m3p/2020/aProject/pl20000168
168,169/DZ_PG_35/ZM4358/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG164	WD1	1,test/m3p/2020/aProject/pl20000169
169,170/DZ_PG_37/ZM4364/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG167	WD1	1,test/m3p/2020/aProject/pl20000170
170,171/DZ_PG_03/ZM4377/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG017	WD1	1,test/m3p/2020/aProject/pl20000171
171,172/DZ_PG_08/ZM4343/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG063	WD1	1,test/m3p/2020/aProject/pl20000172
172,173/DZ_PG_62/ZM4393/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG303	WD1	1,test/m3p/2020/aProject/pl20000173
173,174/DZ_PG_05/ZM4357/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG026	WD1	1,test/m3p/2020/aProject/pl20000174
174,175/DKC4590/XXXX/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	DKC4590	WD1	1,test/m3p/2020/aProject/pl20000175
175,176/DKC4590/XXXX/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	DKC4590	WD1	1,test/m3p/2020/aProject/pl20000176
176,177/DZ_PG_23/ZM4388/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG128	WD1	1,test/m3p/2020/aProject/pl20000177
177,178/DZ_PG_30/ZM4361/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG152	WD1	1,test/m3p/2020/aProject/pl20000178
178,179/DZ_PG_69/ZM4396/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG312	WD1	1,test/m3p/2020/aProject/pl20000179
