,Alias	Type	Experiment	Species	Variety	ExperimentModalities	Repetition,URI
18,19/DZ_PG_69/ZM4396/WW/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG312	WW	1,test/montplier/1234/essai2/pl34000409
19,20/DKC4590/XXXX/WW/1/DIA2017-05-19	Plant	DIA2017	Maize	DKC4590	WW	1,test/montplier/1234/essai2/pl34000410
20,21/DZ_PG_26/ZM4387/WW/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG138	WW	1,test/montplier/1234/essai2/pl34000411
21,22/DZ_PG_50/ZM4363/WW/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG233	WW	1,test/montplier/1234/essai2/pl34000412
22,23/DZ_PG_08/ZM4343/WW/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG063	WW	1,test/montplier/1234/essai2/pl34000413
23,24/DZ_PG_19/ZM4367/WW/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG117	WW	1,test/montplier/1234/essai2/pl34000414
24,25/DZ_PG_51/ZM4350/WW/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG234	WW	1,test/montplier/1234/essai2/pl34000415
25,26/DZ_PG_12/ZM1304_lot1/WW/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG082	WW	1,test/montplier/1234/essai2/pl34000416
26,27/DZ_PG_74/ZM4397/WW/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG313	WW	1,test/montplier/1234/essai2/pl34000417
27,28/DZ_PG_72/ZM4398/WW/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG314	WW	1,test/montplier/1234/essai2/pl34000418
28,29/DZ_PG_47/ZM4362/WW/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG202	WW	1,test/montplier/1234/essai2/pl34000419
29,30/DZ_PG_04/ZM4366/WW/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG321	WW	1,test/montplier/1234/essai2/pl34000420
30,31/DZ_PG_62/ZM4393/WW/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG303	WW	1,test/montplier/1234/essai2/pl34000421
31,32/DZ_PG_03/ZM4377/WW/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG017	WW	1,test/montplier/1234/essai2/pl34000422
32,33/DZ_PG_40/ZM4390/WW/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG176	WW	1,test/montplier/1234/essai2/pl34000423
33,34/DZ_PG_14/ZM4375/WW/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG101	WW	1,test/montplier/1234/essai2/pl34000424
34,35/DZ_PG_33/ZM4353/WW/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG158	WW	1,test/montplier/1234/essai2/pl34000425
35,36/DZ_PG_17/ZM4348/WW/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG110	WW	1,test/montplier/1234/essai2/pl34000426
36,37/DZ_PG_43/ZM4380/WW/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG188	WW	1,test/montplier/1234/essai2/pl34000427
37,38/DZ_PG_21/ZM4360/WW/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG120	WW	1,test/montplier/1234/essai2/pl34000428
38,39/DZ_PG_23/ZM4388/WW/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG128	WW	1,test/montplier/1234/essai2/pl34000429
39,40/DZ_PG_09/ZM4368/WW/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG066	WW	1,test/montplier/1234/essai2/pl34000430
40,41/DZ_PG_01/ZM4381/WW/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG004	WW	1,test/montplier/1234/essai2/pl34000431
41,42/DZ_PG_68/ZM4395/WW/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG311	WW	1,test/montplier/1234/essai2/pl34000432
42,43/DZ_PG_39/ZM4371/WW/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG173	WW	1,test/montplier/1234/essai2/pl34000433
43,44/DZ_PG_34/ZM4384/WW/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG159	WW	1,test/montplier/1234/essai2/pl34000434
44,45/DKC4590/XXXX/WW/1/DIA2017-05-19	Plant	DIA2017	Maize	DKC4590	WW	1,test/montplier/1234/essai2/pl34000435
45,46/DKC4590/XXXX/WW/1/DIA2017-05-19	Plant	DIA2017	Maize	DKC4590	WW	1,test/montplier/1234/essai2/pl34000436
46,47/DZ_PG_36/ZM4372/WW/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG165	WW	1,test/montplier/1234/essai2/pl34000437
47,48/DZ_PG_41/ZM4378/WW/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG181	WW	1,test/montplier/1234/essai2/pl34000438
48,49/DZ_PG_07/ZM4351/WW/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG062	WW	1,test/montplier/1234/essai2/pl34000439
49,50/DZ_PG_62/ZM4393/WW/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG303	WW	1,test/montplier/1234/essai2/pl34000440
50,51/DZ_PG_52/ZM4370/WW/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG239	WW	1,test/montplier/1234/essai2/pl34000441
51,52/DZ_PG_55/ZM4355/WW/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG146	WW	1,test/montplier/1234/essai2/pl34000442
52,53/DZ_PG_13/ZM4379/WW/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG089	WW	1,test/montplier/1234/essai2/pl34000443
53,54/DZ_PG_45/ZM4385/WW/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG194	WW	1,test/montplier/1234/essai2/pl34000444
54,55/DZ_PG_11/ZM4386/WW/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG077	WW	1,test/montplier/1234/essai2/pl34000445
55,56/DZ_PG_05/ZM4357/WW/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG026	WW	1,test/montplier/1234/essai2/pl34000446
56,57/DZ_PG_27/ZM4354/WW/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG103	WW	1,test/montplier/1234/essai2/pl34000447
57,58/DZ_PG_35/ZM4358/WW/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG164	WW	1,test/montplier/1234/essai2/pl34000448
58,59/DZ_PG_44/ZM4369/WW/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG189	WW	1,test/montplier/1234/essai2/pl34000449
59,60/DZ_PG_32/ZM4352/WW/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG155	WW	1,test/montplier/1234/essai2/pl34000450
60,61/DZ_PG_31/ZM4347/WW/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG153	WW	1,test/montplier/1234/essai2/pl34000451
61,62/DZ_PG_63/ZM4392/WW/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG304	WW	1,test/montplier/1234/essai2/pl34000452
62,63/DZ_PG_06/ZM4376/WW/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG029	WW	1,test/montplier/1234/essai2/pl34000453
63,64/DZ_PG_67/ZM4394/WW/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG310	WW	1,test/montplier/1234/essai2/pl34000454
64,65/DZ_PG_46/ZM4374/WW/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG195	WW	1,test/montplier/1234/essai2/pl34000455
65,66/DZ_PG_26/ZM4387/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG138	WW	2,test/montplier/1234/essai2/pl34000456
66,67/DZ_PG_55/ZM4355/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG146	WW	2,test/montplier/1234/essai2/pl34000457
67,68/DZ_PG_03/ZM4377/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG017	WW	2,test/montplier/1234/essai2/pl34000458
68,69/DZ_PG_32/ZM4352/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG155	WW	2,test/montplier/1234/essai2/pl34000459
69,70/DZ_PG_43/ZM4380/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG188	WW	2,test/montplier/1234/essai2/pl34000460
70,71/DZ_PG_12/ZM1304_lot1/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG082	WW	2,test/montplier/1234/essai2/pl34000461
71,72/DZ_PG_39/ZM4371/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG173	WW	2,test/montplier/1234/essai2/pl34000462
72,73/DZ_PG_17/ZM4348/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG110	WW	2,test/montplier/1234/essai2/pl34000463
73,74/DZ_PG_20/ZM4344/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG119	WW	2,test/montplier/1234/essai2/pl34000464
74,75/DZ_PG_69/ZM4396/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG312	WW	2,test/montplier/1234/essai2/pl34000465
75,76/DZ_PG_31/ZM4347/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG153	WW	2,test/montplier/1234/essai2/pl34000466
76,77/DZ_PG_37/ZM4364/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG167	WW	2,test/montplier/1234/essai2/pl34000467
77,78/DZ_PG_40/ZM4390/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG176	WW	2,test/montplier/1234/essai2/pl34000468
78,79/DZ_PG_50/ZM4363/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG233	WW	2,test/montplier/1234/essai2/pl34000469
79,80/DZ_PG_68/ZM4395/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG311	WW	2,test/montplier/1234/essai2/pl34000470
80,81/DZ_PG_10/ZM4365/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG073	WW	2,test/montplier/1234/essai2/pl34000471
81,82/DZ_PG_54/ZM4346/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG116	WW	2,test/montplier/1234/essai2/pl34000472
82,83/DZ_PG_36/ZM4372/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG165	WW	2,test/montplier/1234/essai2/pl34000473
83,84/DZ_PG_67/ZM4394/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG310	WW	2,test/montplier/1234/essai2/pl34000474
84,85/DKC4590/XXXX/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	DKC4590	WW	2,test/montplier/1234/essai2/pl34000475
85,86/DKC4590/XXXX/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	DKC4590	WW	2,test/montplier/1234/essai2/pl34000476
86,87/DZ_PG_47/ZM4362/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG202	WW	2,test/montplier/1234/essai2/pl34000477
87,88/DZ_PG_67/ZM4394/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG310	WW	2,test/montplier/1234/essai2/pl34000478
88,89/DZ_PG_22/ZM4349/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG121	WW	2,test/montplier/1234/essai2/pl34000479
89,90/DZ_PG_35/ZM4358/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG164	WW	2,test/montplier/1234/essai2/pl34000480
90,91/DZ_PG_49/ZM4389/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG228	WW	2,test/montplier/1234/essai2/pl34000481
91,92/DZ_PG_53/ZM4345/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG190	WW	2,test/montplier/1234/essai2/pl34000482
92,93/DZ_PG_41/ZM4378/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG181	WW	2,test/montplier/1234/essai2/pl34000483
93,94/DZ_PG_21/ZM4360/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG120	WW	2,test/montplier/1234/essai2/pl34000484
94,95/DZ_PG_51/ZM4350/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG234	WW	2,test/montplier/1234/essai2/pl34000485
95,96/DZ_PG_27/ZM4354/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG103	WW	2,test/montplier/1234/essai2/pl34000486
96,97/DZ_PG_45/ZM4385/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG194	WW	2,test/montplier/1234/essai2/pl34000487
97,98/DKC4590/XXXX/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	DKC4590	WW	2,test/montplier/1234/essai2/pl34000488
98,99/DZ_PG_30/ZM4361/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG152	WW	2,test/montplier/1234/essai2/pl34000489
99,100/DZ_PG_16/ZM4359/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG109	WW	2,test/montplier/1234/essai2/pl34000490
100,101/DZ_PG_11/ZM4386/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG077	WW	2,test/montplier/1234/essai2/pl34000491
101,102/DZ_PG_13/ZM4379/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG089	WW	2,test/montplier/1234/essai2/pl34000492
102,103/DZ_PG_48/ZM4421/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG216	WW	2,test/montplier/1234/essai2/pl34000493
103,104/DZ_PG_14/ZM4375/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG101	WW	2,test/montplier/1234/essai2/pl34000494
104,105/DZ_PG_02/ZM4356/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG007	WW	2,test/montplier/1234/essai2/pl34000495
105,106/DZ_PG_24/ZM4342/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG131	WW	2,test/montplier/1234/essai2/pl34000496
106,107/DZ_PG_52/ZM4370/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG239	WW	2,test/montplier/1234/essai2/pl34000497
107,108/DZ_PG_34/ZM4384/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG159	WW	2,test/montplier/1234/essai2/pl34000498
108,109/DZ_PG_46/ZM4374/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG195	WW	2,test/montplier/1234/essai2/pl34000499
109,110/DKC4590/XXXX/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	DKC4590	WW	2,test/montplier/1234/essai2/pl34000500
110,111/DKC4590/XXXX/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	DKC4590	WW	2,test/montplier/1234/essai2/pl34000501
111,112/DZ_PG_63/ZM4392/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG304	WW	2,test/montplier/1234/essai2/pl34000502
112,113/DZ_PG_06/ZM4376/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG029	WW	2,test/montplier/1234/essai2/pl34000503
113,114/DZ_PG_33/ZM4353/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG158	WW	2,test/montplier/1234/essai2/pl34000504
114,115/DZ_PG_09/ZM4368/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG066	WW	2,test/montplier/1234/essai2/pl34000505
115,116/DZ_PG_08/ZM4343/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG063	WW	2,test/montplier/1234/essai2/pl34000506
116,117/DZ_PG_23/ZM4388/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG128	WW	2,test/montplier/1234/essai2/pl34000507
117,118/DZ_PG_74/ZM4397/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG313	WW	2,test/montplier/1234/essai2/pl34000508
118,119/DZ_PG_62/ZM4393/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG303	WW	2,test/montplier/1234/essai2/pl34000509
119,120/DZ_PG_62/ZM4393/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG303	WW	2,test/montplier/1234/essai2/pl34000510
120,121/DZ_PG_19/ZM4367/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG117	WW	2,test/montplier/1234/essai2/pl34000511
121,122/DZ_PG_72/ZM4398/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG314	WW	2,test/montplier/1234/essai2/pl34000512
122,123/DZ_PG_07/ZM4351/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG062	WW	2,test/montplier/1234/essai2/pl34000513
123,124/DZ_PG_01/ZM4381/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG004	WW	2,test/montplier/1234/essai2/pl34000514
124,125/DZ_PG_44/ZM4369/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG189	WW	2,test/montplier/1234/essai2/pl34000515
125,126/DZ_PG_62/ZM4393/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG303	WW	2,test/montplier/1234/essai2/pl34000516
126,127/DZ_PG_25/ZM4382/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG136	WW	2,test/montplier/1234/essai2/pl34000517
127,128/DZ_PG_04/ZM4366/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG321	WW	2,test/montplier/1234/essai2/pl34000518
128,129/DZ_PG_66/ZM4391/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG318	WW	2,test/montplier/1234/essai2/pl34000519
129,130/DZ_PG_05/ZM4357/WW/2/DIA2017-05-19	Plant	DIA2017	Maize	iPG026	WW	2,test/montplier/1234/essai2/pl34000520
130,131/DZ_PG_40/ZM4390/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG176	WD1	1,test/montplier/1234/essai2/pl34000521
131,132/DZ_PG_33/ZM4353/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG158	WD1	1,test/montplier/1234/essai2/pl34000522
132,133/DZ_PG_12/ZM1304_lot1/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG082	WD1	1,test/montplier/1234/essai2/pl34000523
133,134/DZ_PG_53/ZM4345/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG190	WD1	1,test/montplier/1234/essai2/pl34000524
134,135/DZ_PG_48/ZM4421/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG216	WD1	1,test/montplier/1234/essai2/pl34000525
135,136/DZ_PG_72/ZM4398/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG314	WD1	1,test/montplier/1234/essai2/pl34000526
136,137/DZ_PG_09/ZM4368/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG066	WD1	1,test/montplier/1234/essai2/pl34000527
137,138/DZ_PG_31/ZM4347/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG153	WD1	1,test/montplier/1234/essai2/pl34000528
138,139/DZ_PG_74/ZM4397/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG313	WD1	1,test/montplier/1234/essai2/pl34000529
139,140/DZ_PG_22/ZM4349/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG121	WD1	1,test/montplier/1234/essai2/pl34000530
140,141/DZ_PG_01/ZM4381/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG004	WD1	1,test/montplier/1234/essai2/pl34000531
141,142/DZ_PG_27/ZM4354/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG103	WD1	1,test/montplier/1234/essai2/pl34000532
142,143/DZ_PG_46/ZM4374/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG195	WD1	1,test/montplier/1234/essai2/pl34000533
143,144/DZ_PG_25/ZM4382/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG136	WD1	1,test/montplier/1234/essai2/pl34000534
144,145/DZ_PG_55/ZM4355/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG146	WD1	1,test/montplier/1234/essai2/pl34000535
145,146/DZ_PG_10/ZM4365/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG073	WD1	1,test/montplier/1234/essai2/pl34000536
146,147/DZ_PG_21/ZM4360/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG120	WD1	1,test/montplier/1234/essai2/pl34000537
147,148/DZ_PG_34/ZM4384/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG159	WD1	1,test/montplier/1234/essai2/pl34000538
148,149/DZ_PG_62/ZM4393/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG303	WD1	1,test/montplier/1234/essai2/pl34000539
149,150/DKC4590/XXXX/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	DKC4590	WD1	1,test/montplier/1234/essai2/pl34000540
150,151/DKC4590/XXXX/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	DKC4590	WD1	1,test/montplier/1234/essai2/pl34000541
151,152/DZ_PG_13/ZM4379/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG089	WD1	1,test/montplier/1234/essai2/pl34000542
152,153/DZ_PG_11/ZM4386/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG077	WD1	1,test/montplier/1234/essai2/pl34000543
153,154/DZ_PG_47/ZM4362/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG202	WD1	1,test/montplier/1234/essai2/pl34000544
154,155/DZ_PG_43/ZM4380/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG188	WD1	1,test/montplier/1234/essai2/pl34000545
155,156/DZ_PG_50/ZM4363/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG233	WD1	1,test/montplier/1234/essai2/pl34000546
156,157/DZ_PG_68/ZM4395/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG311	WD1	1,test/montplier/1234/essai2/pl34000547
157,158/DZ_PG_06/ZM4376/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG029	WD1	1,test/montplier/1234/essai2/pl34000548
158,159/DZ_PG_66/ZM4391/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG318	WD1	1,test/montplier/1234/essai2/pl34000549
159,160/DZ_PG_16/ZM4359/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG109	WD1	1,test/montplier/1234/essai2/pl34000550
160,161/DZ_PG_52/ZM4370/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG239	WD1	1,test/montplier/1234/essai2/pl34000551
161,162/DZ_PG_19/ZM4367/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG117	WD1	1,test/montplier/1234/essai2/pl34000552
162,163/DKC4590/XXXX/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	DKC4590	WD1	1,test/montplier/1234/essai2/pl34000553
163,164/DZ_PG_17/ZM4348/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG110	WD1	1,test/montplier/1234/essai2/pl34000554
164,165/DZ_PG_62/ZM4393/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG303	WD1	1,test/montplier/1234/essai2/pl34000555
165,166/DZ_PG_02/ZM4356/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG007	WD1	1,test/montplier/1234/essai2/pl34000556
166,167/DZ_PG_26/ZM4387/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG138	WD1	1,test/montplier/1234/essai2/pl34000557
167,168/DZ_PG_51/ZM4350/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG234	WD1	1,test/montplier/1234/essai2/pl34000558
168,169/DZ_PG_35/ZM4358/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG164	WD1	1,test/montplier/1234/essai2/pl34000559
169,170/DZ_PG_37/ZM4364/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG167	WD1	1,test/montplier/1234/essai2/pl34000560
170,171/DZ_PG_03/ZM4377/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG017	WD1	1,test/montplier/1234/essai2/pl34000561
171,172/DZ_PG_08/ZM4343/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG063	WD1	1,test/montplier/1234/essai2/pl34000562
172,173/DZ_PG_62/ZM4393/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG303	WD1	1,test/montplier/1234/essai2/pl34000563
173,174/DZ_PG_05/ZM4357/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG026	WD1	1,test/montplier/1234/essai2/pl34000564
174,175/DKC4590/XXXX/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	DKC4590	WD1	1,test/montplier/1234/essai2/pl34000565
175,176/DKC4590/XXXX/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	DKC4590	WD1	1,test/montplier/1234/essai2/pl34000566
176,177/DZ_PG_23/ZM4388/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG128	WD1	1,test/montplier/1234/essai2/pl34000567
177,178/DZ_PG_30/ZM4361/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG152	WD1	1,test/montplier/1234/essai2/pl34000568
178,179/DZ_PG_69/ZM4396/WD1/1/DIA2017-05-19	Plant	DIA2017	Maize	iPG312	WD1	1,test/montplier/1234/essai2/pl34000569
